bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-QA_ses-20181115mr000203_bold	0.0014783612040133783	0.0002922960133779264	1	5.11242712604027	0.9627391426510065	0.9752689279530203	0.6154879386120269	1589.4368896484375	0.005328309946341103	0	0.0	2.883211111111111	2.2183266666666666	2.30784	4.123466666666666	0.107528	-0.0034815925173461437	0.011323659680783749	299	72	72	37	3.9671176185573414	2.0	3.0	3.0	3.0	4.4886802905774825	16.02598751975883	62.54948806762695	56.07692337036133	81886.0	25.596153736114502	107.59447860717773	24.627567291259766	0.24151708341961164	546.4207212550034	2334.103759765625	2226.5283203125	72875.0	1601.9969970703125	3406.2578613281257	561.2420043945312	191.65814281161875
sub-QA_ses-20181115mr000204_bold	0.008087599999999999	0.0003913831346666667	0	5.694487381973244	0.9962036649163883	1.045009611270903	0.6108234382408898	707.5158081054688	0.0157200831565455	0	0.0	3.228236666666667	2.3407066666666667	2.98687	4.3571333333333335	0.259124	-0.008481399156153202	0.018956510350108147	300	72	72	37	2.1809053736876707	2.0	3.0	3.0	3.0	3.900184391149459	6.049016938389284	22.79882049560547	19.270000457763672	78565.0	14.610000610351562	42.81933364868165	9.491701126098633	0.923104490613726	207.51736845816404	604.1206665039062	534.510009765625	75630.0	332.6463348388672	1099.4449157714848	245.0846710205078	172.7440055431798
sub-QA_ses-20181201mr000201_bold	0.001893779264214047	0.0006537267993311037	1	9.407741882583892	1.2403520249328854	0.9558397198993281	0.631193867865946	1891.47314453125	0.042844042069818594	0	0.0	2.898921111111111	2.19776	2.36427	4.134733333333333	0.0578974	-0.002843548310920596	0.009238836355507374	299	72	72	35	4.18528390690667	2.0	3.0	3.0	3.0	20.12336557088378	17.419337473821084	67.90180206298828	62.16387939453125	72942.0	25.04347801208496	115.12340698242186	27.338321685791016	-0.24855187911128018	632.9621963087841	2818.64306640625	2708.35791015625	72622.0	1885.3668884277342	4010.043933105468	647.1100463867188	162.31703835725784
sub-QA_ses-20181201mr000202_bold	0.0024212040133779265	0.00038828378929765887	1	4.889167779530202	0.9370037075167786	0.9413950771476511	0.6189748755672582	2225.414306640625	0.010221831483585173	0	0.0	3.0654144444444444	2.2518066666666665	2.46907	4.475366666666667	0.0190943	-0.0019306088797748089	0.00969119742512703	299	72	72	35	3.993476008235201	2.0	3.0	3.0	3.0	3.484138587437905	19.34820667022205	72.671142578125	63.72575378417969	75377.0	30.3277587890625	135.57926635742186	31.603145599365234	-0.20925795978644146	713.1121210758529	3093.314208984375	2989.49169921875	70385.0	1943.8662109375	4451.74267578125	748.5885620117188	178.1033859308809
sub-QA_ses-20181201mr000203_bold	0.001193779264214047	0.0003029785819397993	1	5.299864442953021	0.95940266090604	0.9691059215771812	0.6190207872450408	1490.6444091796875	0.00557966427883869	0	0.0	2.8569022222222222	2.2179266666666666	2.31008	4.0427	0.11491	-0.0035217180848121643	0.011944055557250977	299	72	72	37	3.903942146650956	2.0	3.0	3.0	3.0	4.340148589666146	16.234240918233766	63.178550720214844	56.51170349121094	80856.0	25.240802764892578	110.76922607421875	25.096233367919922	-0.09972374582835108	572.2844563431623	2284.966796875	2181.46826171875	73815.0	1552.190673828125	3337.0651123046873	558.7822265625	190.78136272262782
sub-QA_ses-20181201mr000204_bold	0.0076614000000000005	0.00036737500266666666	0	5.667262672040132	1.0001804478260874	1.0458732494314382	0.6124600117758315	697.6608276367188	0.014937699764668634	0	0.0	3.2005255555555556	2.3296333333333332	2.9983766666666667	4.2735666666666665	0.260109	-0.008812385611236095	0.019457023590803146	300	72	72	37	2.194683621559572	2.0	3.0	3.0	3.0	3.824074186050976	6.187394427403628	22.95207977294922	19.406667709350586	78351.0	14.630000114440918	43.206668853759766	9.586259841918945	0.8773806124401724	208.72818138447718	604.010009765625	535.489990234375	75874.0	332.5433349609375	1097.3609985351552	243.9925537109375	173.4180451175198
sub-QA_ses-20181215mr000201_bold	0.002127859531772575	0.0006557783812709031	1	8.805718730637583	1.2232073018456366	0.9651977613758392	0.6334589127616888	1876.5494384765625	0.041474012327932706	0	0.0	2.8149511111111107	2.1525133333333333	2.3024733333333334	3.9898666666666665	0.0425341	-0.0028035256545990705	0.009414700791239738	299	72	72	35	4.383868118471322	2.0	3.0	3.0	3.0	7.406630847793075	18.106092390537047	68.36270904541016	62.73912811279297	72676.0	24.896320343017578	116.86872673034668	27.12838363647461	-0.30128624668173165	625.5937067184232	2825.961669921875	2716.9599609375	72922.0	1967.5847534179686	3981.1061035156254	619.7589111328125	166.84962213691324
sub-QA_ses-20181215mr000202_bold	0.0020533779264214043	0.0004514071003344482	1	5.173180653557049	0.9647740680536917	0.9401915792953018	0.6254300547157162	2119.2333984375	0.015077812452870099	0	0.0	2.8215944444444445	2.1339533333333334	2.31913	4.0117	0.0269566	-0.0029726303182542324	0.010684947483241558	299	72	72	35	4.4709000672420665	2.0	3.0	3.0	3.0	6.8930455169591855	22.154735387619635	75.0414047241211	66.81270599365234	74680.0	24.896153163909915	137.6588592529297	34.93318176269531	-0.2551171829827896	687.9969263655918	3156.296142578125	3042.163818359375	71063.0	2215.6873779296875	4422.63642578125	680.4317626953125	180.8861161111854
sub-QA_ses-20181215mr000203_bold	0.0012380936454849498	0.0002565734648829432	1	5.277556296006714	0.9564934083221485	0.9661109494966434	0.6168292946651112	1462.0850830078125	0.0054196064145974965	0	0.0	2.84325	2.2063099999999998	2.2990733333333333	4.024366666666666	0.1275	-0.004035739228129387	0.012582285329699516	299	72	72	37	3.8982881648540855	2.0	3.0	3.0	3.0	4.295547478010736	16.720182481711166	63.551063537597656	56.85618591308594	81467.0	23.869565963745117	110.76856079101559	25.472434997558594	-0.13076972989655955	576.3652320783752	2275.021728515625	2171.662109375	73097.0	1548.8775390625	3326.509033203125	557.0771484375	190.3915477823466
sub-QA_ses-20181215mr000204_bold	0.008436066666666665	0.00038265625233333325	0	5.6839205826755865	1.0077143474916384	1.0568649067892972	0.61203340830818	702.74267578125	0.0181953608829038	0	0.0	3.174382222222222	2.32423	2.9922833333333334	4.2066333333333334	0.24137	-0.008662090636789799	0.01919170469045639	300	72	72	37	2.1976799520629706	2.0	3.0	3.0	3.0	3.646392583467967	6.202220788929402	22.92902374267578	19.40333366394043	78541.0	14.630000114440918	43.26000213623047	9.572108268737793	0.9102963476515278	208.65155825041225	604.37646484375	535.9400024414062	75695.0	331.6560028076172	1092.8743896484375	243.86465454101562	178.65436203964055
